97.0,107.5,98.5,109.5
98.0,107.25,99.5,109.0
87.5,99.5,89.0,101.0
98.0,108.5,98.75,110.25
93.0,103.25,95.0,105.25
91.0,104.75,92.5,106.75
97.0,105.25,99.25,106.75
98.25,107.5,100.0,109.0
88.25,103.75,89.75,105.5
94.25,101.5,95.5,103.25
95.75,104.0,97.5,105.25
91.75,101.5,93.25,103.0
92.0,99.75,93.25,101.0
90.0,103.5,91.25,104.75
93.25,101.5,94.5,102.5
98.25,106.75,99.75,108.75
92.0,102.25,93.75,103.75
94.0,102.5,95.5,103.75
97.25,106.0,99.25,108.25
91.5,99.75,93.0,101.25
97.25,104.25,98.75,105.75
97.75,110.0,99.0,111.25
95.25,105.0,96.75,106.25
90.5,103.75,92.5,106.0
91.5,101.75,93.0,103.0
95.25,105.75,97.0,107.5
89.75,100.0,91.5,102.0
98.5,108.75,100.0,110.0
97.25,105.25,98.5,107.25
94.25,101.75,95.5,103.75
93.25,103.25,95.25,105.0
94.5,106.0,96.0,107.75
88.0,100.75,90.0,101.5
95.25,108.5,96.75,110.5
97.75,107.5,99.75,109.5
90.5,103.75,92.0,104.5
88.75,100.0,91.25,101.75
92.25,101.0,93.75,102.5
92.0,101.0,93.75,102.25
90.5,102.25,92.25,104.0
95.75,106.25,97.0,107.75
95.25,105.5,96.5,107.25
96.75,105.25,98.25,106.75
94.25,105.5,95.5,107.0
93.5,107.5,95.5,109.25
96.75,106.75,98.25,108.25
98.0,107.5,99.5,109.25
93.75,103.75,95.5,105.75
91.75,102.75,93.75,104.75
97.5,108.25,99.25,110.0
90.75,106.0,92.25,107.25
91.5,102.5,93.0,103.75
89.0,102.5,90.75,103.5
95.5,103.75,96.75,105.5
93.75,107.75,95.0,109.75
97.25,106.0,99.0,107.25
98.75,104.75,100.75,106.25
90.75,101.25,92.5,102.75
93.0,101.5,94.75,103.25
89.5,103.75,91.0,105.75
93.0,103.0,94.5,105.5
98.0,112.0,99.75,113.75
91.75,103.75,93.25,105.0
90.75,102.0,92.0,103.5
97.0,110.25,98.75,111.75
94.25,101.25,95.75,102.75
94.25,106.75,96.0,108.25
89.5,101.25,91.25,103.25
98.5,106.5,100.0,107.75
85.75,103.5,87.25,105.5
85.25,100.0,87.0,101.5
90.25,100.0,92.0,101.5
93.0,102.0,94.75,103.5
96.25,110.0,97.75,111.75
96.75,112.75,98.5,114.5
94.75,102.5,97.25,104.0
98.0,116.0,99.75,118.0
96.75,104.25,98.75,106.25
94.0,105.25,95.5,107.0
87.25,101.25,89.25,103.75
92.0,100.0,94.0,101.5
77.25,102.75,79.5,104.75
96.25,104.0,98.0,105.5
93.5,101.25,95.5,103.25
90.75,103.0,92.0,104.75
85.5,100.25,87.0,102.25
94.25,102.0,95.75,103.5
96.0,105.0,98.25,106.75
99.0,111.25,100.0,113.0
97.5,106.25,99.75,108.5
98.25,106.5,99.5,108.0
98.25,108.25,99.25,109.25
93.5,102.0,95.25,104.0
84.5,101.0,86.0,103.0
98.75,109.5,100.0,110.75
95.5,103.75,97.25,105.25
88.5,101.5,89.75,102.25
94.0,102.5,95.5,104.0
87.5,100.75,89.25,102.5
96.5,107.25,97.75,109.0
